normalperson wj225|See: Batshua
cdie CyrixBoy|Try the book "Learn C in 72 hours or DIE" . You can learn C fast or they sent a hit man to assasinate you.
chack CyrixBoy|Impatient to learn C? Try "C for Kiddyhax0rs" Learn important C concepts fast so you can program l33t programs like quake in just days! priced cheap so your dad can buy it for you.
gd saeger|a graphics library by Thomas Boutell - http://www.boutell.com/gd/ - "A graphics library for fast GIF creation"
die-lz zhivago|irritating warez kiddy.
alyshia alyshia|.
gcal `CYCO|ftp://alpha.gnu.ai.mit.edu/pub/gnu/gcal-2.40.tar.gz  <--- __tom__'s wonderful world calendar software
win32 `CYCO|win32 is the API that Microsoft supplies for it's Windows operating systems.  Most of these API's are now encompassed in MFC.
wawbsermon `CYCO|1) Learn to pay attention. 2) Stop repeating your crap. 3) Learn how to use a search engine.
colors possible|There are no colors in C. There are no graphics in C. Graphics and colors are done with add-ons to C (like the Windows API, X-WIndows, or DOS text color functions).
oplist `CYCO|I keep a list of #c ops for maintenance reasons only.  People are not added to this list frequently and asking to be added to the list is a good way NOT to get on it.  Get the picture?
internet Ape|A bunch of wires strung together allowing the world to exchange dirty pictures with each other, quickly and efficiently.
www Ape|A bunch of computers connected together that efficiently and easily provide dirty pictures for the world. See 'internet'.
osbook jamiroqui|Operating Systems, Design and Implementation by A Tanenbaum and A Woodhill. ISBN: 0-13-638677-6 URL: http://www.cs.vu.nl/~ast/osdi2/index.html
sigsegv jamiroqui|A SIGSEGV is sent to your program when it causes a segmentation fault, segmentation fault's can be caused by your program writing to or reading from an invalid memory location (i.e. from a pointer which points nowhere meaningful) For example: char* str; strcpy(str, "Hello"); will cause a segmentation fault because the pointer "str" does not point to memory that your process "owns", a corrected version would be: char *str = (char*) malloc(6); st
infoseek kage`|yet another search engine: http://www.infoseek.com
Orbix SNIBRIL|http://www.iona.com/Products/Orbix/
chess _Vile|get the internet chess client(icc) at www.chessclub.com, login to chess.lm.com port 5000!
vesa kage`|www.scitechsoft.com
memory-management OrngeTide|The Memory Management Glossary: A-Z <http://www.harlequin.com/mm/reference/glossary/full.html>
IM SNIBRIL|ImageMagick - A package for display and interactive manipulation of images; http://www.wizards.dupont.com/cristy/ImageMagick.html
noscr SNIBRIL|There is no screen in C!
binary xgc|Binary: (97 base 10) == (64+32+1) and (64+32+1) == (01100001 base 2)
print_binary xgc|Binary printing: void prt(int n) { if (n) { prt(n>>1); putchar((n&1) + '0'); } }
ctut SilverStr|http://kauha.kauhajoki.fi/~nicce/c.htm, http://jupiter.cse.utoledo.edu/~cwinner/c.html
goodstuff OrngeTide|"http://www.iftech.com/oltc/ has lots of good stuff on it" -- Temperance
lisp-tute kage`|http://www.cs.tulane.edu/www/Villamil/lisp/lisp1.html
cgi-tute SilverStr|Grab info on CGI at: http://hoohoo.ncsa.uiuc.edu/cgi/
MS-problem SaintN|See http://www.linux.org/ or http://www.freebsd.org/ for the solution to your Microsoft problem
SPEC-FAQ SaintN|See  http://performance.netlib.org/performance/html/specfaq.html for the SPEC FAQ
pi zhivago|3.1415926535 8979323846 2643383279 5028841971 6939937510 5820974944 5923078164 0628620899 8628034825 3421170679 8214808651 3282306647 0938446095 5058223172 5359408128 4811174502 8410270193 8521105559 6446229489 5493038196 4428810975
POSA SNIBRIL|F. Buschmann et al., "Pattern-Oriented Software Architecture - A System of Patterns". Wiley & Sons, 1996, ISBN 0-471-95869-7.
tc++pl SNIBRIL|Bjarne Stroustrup, "The C++ Programming Language". Addison-Wesley, 1997, 3rd edition, ISBN 0-201-88954-4.
networks SNIBRIL|Andrew S. Tanenbaum, "Computer Networks". Prentice Hall, 1996, 3rd edition, ISBN 0-13-349945-6.
DEK1 SNIBRIL|D.E. Knuth, "The Art of Computer Programming, Vol. I - Fundamental Algorithms". Addison-Wesley, 1997, 3rd edition, ISBN 0-201-89683-4.
RT*M SNIBRIL|Read The F*cking Manual (or online help, book, whatever, but READ)
programmer `CYCO|programmer is a term used to refer to COBOL zombies that stare at 3270 emulators with CAPS LOCK on and creativity that maxes out with IMS screens that have fixed field lengths and an exciting 16 color limitation.
mkcalcmania SNIBRIL|making a calc like this one!
windows95 _Vile|"Windows 95: n. 32 bit extensions and a graphical shell for a 16 bit patch to an 8 bit operating system originally coded for a 4 bit microprocessor, written by a 2 bit company, that can't stand 1 bit of competition." - UGU
TANSTAAFL SNIBRIL|There Ain't No Such Thing As A Free Lunch!
bnf zhivago|http://www.idiom.com/free-compilers/ECATEGORY/textmani-1.html
megaton megaton|1e6 tons
RaD SNIBRIL|Steve McConnell, "Rapid Development - Taming Wild Software Schedules". Microsoft Press, 1996, ISBN 1-55615-900-5.
autoaway CyrixBoy|Your silly Autoannoying (autoaway) message will get you a sure boot from the ops. Please disable it here.
#java `CYCO|#java - kewl IRC channel about an excellent language that was designed for the Internet and cross platform usability.
Java-Bible Czero|The Java Tutorial by Mary Campione and Kathy Walrath; ISBN 0-201-63454-6.  http://www.javasoft.com/tutorial/
afraid++ SNIBRIL|"Who's Afraid of C++?" by Steve Heller, 1996, ISBN 0123390974. This is an extraordinary book on C++ written as a dialogue between a world-class expert and a complete novice.
EBNF SNIBRIL|Extended Backus-Naur Form - a way to describe computer language syntax.
RHIDE SNIBRIL|RHIDE is an integrated development environment for DJGPP - http://www.tu-chemnitz.de/~sho/rho/rhide/
mskb zhivago|Microsofts general repository of information that should be in documentation, but isn't:  http://www.microsoft.com/kb
Compression SNIBRIL|Paper that surveys a variety of data compression methods spanning almost forty years of research - http://www.ics.uci.edu/~dan/pubs/DataCompression.html
qsort zhivago|int sort(char **a, char **b) { return strcmp(*a, *b); } int main() { int i; char *buf[] = {"one", "two", "three", "four"}; qsort(buf, 4, sizeof(char *), sort); for(i=0;i<4;i++) { puts(buf[i]); } return 0; }
win95 kage`|"Windows 95: n. 32 bit extensions and a graphical shell for a 16 bit patch to an 8 bit operating system originally coded for a 4 bit microprocessor, written by a 2 bit company, that can't stand 1 bit of competition." - UGU
harsh_mistress SNIBRIL|The Hugo Award-winning classic that helped launch modern libertarianism, "The Moon Is a Harsh Mistress" is Heinlein's unforgettable tale of a Lunar revolution in 2076. Led by a one-armed computer technician, a radical blonde bombshell, an aging academic, and a sentient, all-knowing computer, the revolution'sproclamation--"TANSTAAFL" (There Ain't No Such Thing As A Free Lunch)--remains a slogan of the libertarian movement today.
IDE SNIBRIL|Integrated Development Environment, a/k/a I Don't know what the fuck makE is.
cplusplus Justino|C++: a slightly more convienient way to do OO than C.
MSDNInfo Sputnix|You can find out information about MSDN Subscriptions (there are currently four different levels) at http://www.microsoft.com/msdn/join/subdetails.htm
stuff kestrel|The all encompassing word for every occasion: STUFF!
SQLbook SNIBRIL|"The Practical Sql Handbook: Using Structured Query Language" by Judith S. Bowman, Sandra L. Emerson, Marcy Darnovsky. Addison-Wesley, 1996, 3rd edition, ISBN 0201447878.
soccer xgc|Soccer - Don't ask me.  Ask Xgc.
split xgc|split - split a file into pieces (shell command)
debugger Ape|Debugger - A magical instrument that helps you find bugs (see "bugs"). Get a clue and get one!
SOCK_AF SNIBRIL|Each instance of the system supports some number of sets of communications protocols. Each protocol set supports addresses of a certain format. An Address Family is the set of addresses for a specific group of protocols. Each socket has an address chosen from the address family in which the socket was created.
appel demoncrat|Andrew Appel, Modern Compiler Implementation in <foo>
heuristics SNIBRIL|Solving NP-Complete Problems - http://www.cs.engr.uky.edu/%7Elewis/cs-heuristic/text/contents.html
devo possible|The 'whip it' flowerpot boys.
X xgc|X Window System - ftp://ftp.x.org  (Archive), O'Reilly and Associates (for printed material)
sports zhivago|We don't know C or C++, we just talk about sports.
BinTree SNIBRIL|Information on Binary Trees - http://sue.csc.uvic.ca/~cos/inf/tree/BinaryTrees.html
netprog1 SNIBRIL|"Unix Network Programming : Networking APIS-Sockets and XTI" by W. Richard Stevens, 2nd Edition, Hardcover, 700 pages, Prentice-Hall, 1997, ISBN 013490012X.
IPC SNIBRIL|Inter-Process Communications - Sockets, LU6.2, Pipes, Queues, Semaphores, Msgs, ...
SeVeRn SNIBRIL|One that wants(!) to be famous.
invindex SNIBRIL|A File System Based Inverted Index - http://www.roads.lut.ac.uk/Reports/fileindex/fileindex.html
wildptr SNIBRIL|char* guess_where_i_point_to /* no init */;
webwalk SNIBRIL|A Constraint-Guided Web Walker for Specialized Activities - http://www.ai.mit.edu/projects/iiip/doc/cl-http/w4/w4.html
c++anno SNIBRIL|C++ Annotations - This document is intended for knowledgeable users of C who would like to make the transition to C++ / http://www.icce.rug.nl/docs/cplusplus/cplusplus.html
src.c SNIBRIL|Programming.Source.C - http://www.dc.ee/Files/Programm.C
fftw OrngeTide|FFTW "Fastest Fourier Transformations in the West" - portable C src from MIT for FFTs (Fast Fourier Transformations)  http://theory.lcs.mit.edu/~fftw
readlines SNIBRIL|ifstream infile("foo"); if (infile) for(;;) { infile.getline(buf, sizeof(buf)); if (infile.gcount() == 0) break; do_stuff_with(buf); }
practicalalgorithms Sputnix|"Practical Algorithms" by Andrew Binstock and John Rex is a collection of common tasks that C programmers are faced with. Full source to all algorithms is provided. Published by Addison Wesley. ISBN 0-201-63208-X
amazon SNIBRIL|Earth's Biggest Book Store - http://www.amazon.com/
scanf SNIBRIL|Do not use scanf()!
AdvancedX SilverStr|Advanced X Windows Application Programming - Eric F. johnson, Kevin Reichard ISBN#: 1-55828-344-7
jeremiah zhivago|"I used to stay up late sending out the pings, and even later waiting for the pongs... But now I have a cable modem, and that has made all the difference."
RAND_MAX SilverStr|RAND_MAX always wonders if his pocket protector is on straight
ThaDragon ThaDragon|b0rpb0rp =} Im a nice dragon GRRrrRRRrrRRRrrRRRRrRRRRrRrrRrrRrrrrr
programmr _Vile|Jest sixth munths agoe I kuld not speel kompeutur programmr and todae I are one!
cronos _Vile|<Cronos_> We will crush you, as we crush all who stand in the way of our world domi... I mean, delivering a quality product.
crypto-algo SNIBRIL|Cryptographic Algorithms - http://www.cs.hut.fi/crypto/algorithms.html
w32sysprog SNIBRIL|"Win32 System Programming", Johnson M. Hart, Hardcover, 361 pages, Addison-Wesley, 1997, ISBN 0201634651.
pi-simp alyshia|ln(-1)/i
temperanc Sputnix|Temperance's Programs, all sorts of examples in c, c++, java, perl, and cgi. http://ccwf.cc.utexas.edu/~apoc/programs/
pcintern OrngeTide|PCintern. system programming. "The encyclopedia of DOS programming know how". full of direct access to your favorite hardware (mouse, mda/cga/ega/vga, realtime clock) about 1356 pages. from Abacus ISBN 1-55755-145-6
polysect SNIBRIL|An O(n) Polygonal Intersection Detection Algorithm - http://www.eng2.uconn.edu/cse/brett/poly/index.html
Rhapsody SNIBRIL|Rhapsody Developer Release Site - http://devworld.apple.com/dev/rhapdev/rhapsody.html
serialfaq Sputnix|The Serial programming FAQ is available at ftp://ftp.phil.uni-sb.de/pub/chris/
c-library demoncrat|http://www.dinkumware.com/htm_cl/index.html
readinglist Sputnix|Here's a list of books that are great if you want to learn to program in the C language. The reading list is a part of the Learn C website and is available at http://www.sputnix.com/learnc/ReadingList.htm
booklist Sputnix|Here's a list of books that are great if you want to learn to program in the C language. The reading list is a part of the Learn C website and is available at http://www.sputnix.com/learnc/ReadingList.htm
pipes kage`|http://physics.ucsc.edu/tutor/pipes.html
raw-ip Blakes_7|http://www.whitefang.com/rin/
Ritchie kage`|aka god.  One of the main developers for C, _AND_ Unix.
fsu-pthreads OrngeTide|FSU Pthreads http://www.informatik.hu-berlin.de/~mueller/pthreads/
gfx Ape|Check out http://www.scitechsoft.com for the gfx lib that was used in WinQuake and Hexen II. Its free and comes with source for all you gfx-geeks.
mgl Ape|Check out http://www.scitechsoft.com for the gfx lib that was used in WinQuake and Hexen II. Its free and comes with source for all you gfx-geeks.
msnews Sputnix|Microsoft peer-peer support newsgroups are available at msnews.microsoft.com.
1/0 flub|kaboom!
scheme-tute demoncrat|http://www.edoc.com/zarf/zplet/lists.html
sex+math _Vile|sex is like math; add the bed; subtract the clothes; divide the legs; multiply the fun
bgates `CYCO|mac daddy
freecompilers Sputnix|For links to various free compilers and other useful C tools, check out http://www.sputnix.com/LearnC/GettingTheTools.htm
xprog-URL SilverStr|Go here for a good launch pad for X programming info. http://www.rahul.net/kenton/xsites.html
cdecl tybstar|cdecl and cundecl answer all your questions about declarations in C. It runs on your OS. Search the web for the right version.
sharedlib jamiroqui|a) make your position independant object files: gcc -c -fpic -O3 foo.c b) link them together using -shared: gcc -shared foo.o bar.o zab.o -o libzog.so.1.0 (major and minor numbers usually required) c) clap yourself on the back
staticlib: jamiroqui|a) make your object files: gcc -O3 foo.c b) archive them in a library: ar cr libzog.a foo.o bar.o baz.o c) create a TOC in the library: ranlib libzog.a
CFAQ gambit-|ftp://rtfm.mit.edu/pub/usenet/comp.lang.c/ or ftp://ftp.uu.net/usenet/news.answers/C-faq/ or http://www.eskimo.com/~scs/C-faq/top.html
sequence gambit-|In an expression, the value of an object may be modified at most once. The only exceptions to this are the following "intermediate sequence points": || && ?: , and immediately before a function call. Thus, in practice in an expression only one access to an object may be to modify its value. All others must be for computing the value only, and they should be demonstrably before the modification. -  c.faq  3.1-3.8
